Job title,Company,Deadline,Location
Python Developer,SoftConstruct,01 May 2024,Yerevan
-SMS Network Operations Center Engineer-,Dial Tel LLC,01 May 2024,Yerevan
Ոսկերիչ գնահատողի օգնական՝ «Սեբաստիա» մասնաճյուղում՝ 18։00-01։00 աշխատաժամանակով,FastBank CJSC,14 April 2024,Yerevan
Accountant,Decora Group,01 May 2024,Yerevan
B2B Sales Manager,#XAXALOVE,01 May 2024,Yerevan
Interviewer,CIVITTA AM,15 April 2024,Yerevan
42 Yerevan - Technical and Pedagogical Coordinator,TUMO Center for Creative Technologies,01 May 2024,Yerevan
Ֆինանսական բաժնի  հաշվետար- օպերատոր,Bella Casa,01 May 2024,Yerevan
Վաճառքի Մենեջեր,ENERGYWISE,01 May 2024,Yerevan
Lead Software Engineer,Swaps.app,01 May 2024,Yerevan
Ոսկերիչ գնահատողի օգնական՝ «Մարտունի» մասնաճյուղում,FastBank CJSC,14 April 2024,Abovyan
Inbound Communication Team Specialist (Contact Center),Ameriabank CJSC,01 May 2024,Yerevan
"Outbound team (Sales team) specialist, Contact Center",Ameriabank CJSC,01 May 2024,Yerevan
"Client Manager, Yerevan branch network",Ameriabank CJSC,01 May 2024,Yerevan
"Teller, Yerevan branch network",Ameriabank CJSC,01 May 2024,Yerevan
Head of Marketing department,ARMENIA WINE FACTORY LLC,01 May 2024,Yerevan
"Սրահի ադմինիստրատոր, ք. Արարատ",VTB Bank (Armenia),01 May 2024,Ararat
Regional Basic Support Agent,Viva-MTS (MTS Armenia CJSC),10 April 2024,Vanadzor
Basic Support Agent (On Shift),Viva-MTS (MTS Armenia CJSC),09 April 2024,Yerevan
Խաղավար,CreedRoomz,01 May 2024,Yerevan
Խաղավարի օգնական,CreedRoomz,01 May 2024,Yerevan
Game Presenter,CreedRoomz,01 May 2024,Yerevan
Senior Recruiter,CreedRoomz,01 May 2024,Yerevan
Ոսկերիչ գնահատողի օգնական՝ «Աբովյան» մասնաճյուղում,FastBank CJSC,14 April 2024,Abovyan
Խնդրահարույց ակտիվների վերկանգման մասնագետ,FastBank CJSC,14 April 2024,Yerevan
Dealer,Vision Zoom Casino,01 May 2024,Yerevan
Office manager,MLN Pharm,01 May 2024,Yerevan
Corporate sales manager,EFES,01 May 2024,Yerevan
Cashier,Move2Armenia Career,01 May 2024,Yerevan
Ղեկավար - հաշվապահ,Հայաստանի Հաշվապահների Ասոցիացիա,01 May 2024,Yerevan
Customer Service  Specialist,Adjarabet.am,30 April 2024,Yerevan
Դատաիրավական բաժնի ղեկավար,Evocabank,14 April 2024,Yerevan
Teller,Evocabank,30 April 2024,Yerevan
Credit Monitoring Specialist,Evocabank,14 April 2024,Yerevan
Teller (evening shift),Evocabank,14 April 2024,Yerevan
Technical Monitoring Specialist,Evocabank,14 April 2024,Yerevan
Product Owner,Evocabank,14 April 2024,Yerevan
Շինարարության պատասխանատուի օգնական,FastBank CJSC,10 April 2024,Yerevan
Investment Operation Specialist,Evocabank,14 April 2024,Yerevan
Shipper,PANDA GROUP,01 May 2024,Yerevan
Customer Attraction Chief Specialist,Evocabank,14 April 2024,Yerevan
UI/UX Junior Designer,DBD Digital Business Development LLC,25 April 2024,Yerevan
Junior Kotlin Developer,DBD Digital Business Development LLC,25 April 2024,Yerevan
"Ոսկերիչ /Երևանի Եղեգնաձորի, Տաշիրի Աշտարակի մասնաճյուղեր/",ՅՈՒՆԻԲԱՆԿ ԲԲԸ,01 May 2024,Yerevan
Customer Support Agent -Turkish and English Languages,SoftConstruct,30 April 2024,Yerevan
